timestamp,run_name,algo,env_id,seed,eval_episodes,is_perturbed,model_label,scenario_label,model_path,norm_stats_path,eval_raw_rewards,xml_perturb,xml_body_mass_scale,xml_geom_friction_scale,xml_joint_damping_scale,mean_return,std_return,median_return,iqm_return,min_return,max_return
1772827435,a3800_fine_s1_nominal,ppo_cont,Walker2d-v4,1,100,0,tv_a3800,nominal,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,0,1.0,1.0,1.0,1584.1789460663942,633.4501022467161,1409.8330819643393,1469.2865871990382,431.6410395615241,3475.7795646563845
1772827457,a3800_fine_s1_friction_0p5,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,friction_0p5,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,0.5,1.0,573.6248943075709,123.42238410847996,577.3089454542744,577.6927087443787,232.35151115709982,941.4556641699907
1772827480,a3800_fine_s1_friction_0p6,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,friction_0p6,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,0.6,1.0,702.6708826445537,180.71447775355696,674.1834322382111,670.9490074580364,211.91073392939765,1512.5911801918319
1772827505,a3800_fine_s1_friction_0p7,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,friction_0p7,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,0.7,1.0,772.4607327907806,242.95446407177243,711.7247324303643,717.3458066328988,283.22539443116943,2089.457152298373
1772827535,a3800_fine_s1_friction_0p8,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,friction_0p8,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,0.8,1.0,1077.6105824253063,419.069655335457,972.5831079239697,1002.3887045151055,284.81505300793464,2348.424094227211
1772827572,a3800_fine_s1_friction_0p9,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,friction_0p9,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,0.9,1.0,1393.028010572567,549.2038205079525,1295.6080270040115,1300.5935952783482,545.84706596564,3506.494144121745
1772827613,a3800_fine_s1_friction_1p0,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,friction_1p0,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,1.0,1.0,1567.5091435672737,636.4685007951223,1460.992886611291,1435.1624489877618,633.7817763381927,3913.7779230677506
1772827651,a3800_fine_s1_friction_1p1,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,friction_1p1,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,1.1,1.0,1333.7101851248196,357.5841002829851,1297.7509676966347,1315.3524253022563,343.6094782272446,2282.4866884700864
1772827679,a3800_fine_s1_friction_1p3,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,friction_1p3,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,1.3,1.0,923.9726080616546,247.54137630178917,862.3340663711501,865.4439620839349,628.7980872428545,2129.858968820204
1772827705,a3800_fine_s1_friction_1p5,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,friction_1p5,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,1.5,1.0,706.6248338255252,103.03108728951233,687.4268241009096,683.7647008817864,518.0786433683902,1118.3002295562771
1772827727,a3800_fine_s1_friction_1p7,ppo_cont,Walker2d-v4,1,100,1,tv_a3800,friction_1p7,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model,/home/users/am1015/rl_runs_alpha_fine/Walker2d-v4__ppo_cont_tv_alpha_a3800__1__1772823307/ppo_cont_tv_alpha_a3800.cleanrl_model.norm_stats.npz,1,1,1.0,1.7,1.0,599.5549096391528,47.9862169538329,601.7395803976718,601.4089423403245,500.5370453479439,791.0458678048396
